-5.000000, 0.127322
-4.900000, 0.126895
-4.800000, 0.120256
-4.700000, 0.107937
-4.600000, 0.091056
-4.500000, 0.071236
-4.400000, 0.050464
-4.300000, 0.030921
-4.200000, 0.014773
-4.100000, 0.003969
-4.000000, 0.000333
-3.900000, 0.003856
-3.800000, 0.015708
-3.700000, 0.035060
-3.600000, 0.060622
-3.500000, 0.090446
-3.400000, 0.122075
-3.300000, 0.152749
-3.200000, 0.179651
-3.100000, 0.200180
-3.000000, 0.212205
-2.900000, 0.214305
-2.800000, 0.205946
-2.700000, 0.187592
-2.600000, 0.160734
-2.500000, 0.127824
-2.400000, 0.092121
-2.300000, 0.057454
-2.200000, 0.027929
-2.100000, 0.007581
-2.000000, 0.000333
-1.900000, 0.008052
-1.800000, 0.033481
-1.700000, 0.076780
-1.600000, 0.136992
-1.500000, 0.211707
-1.400000, 0.297148
-1.300000, 0.388370
-1.200000, 0.479562
-1.100000, 0.564427
-1.000000, 0.636619
-0.900000, 0.690199
-0.800000, 0.720079
-0.700000, 0.722415
-0.600000, 0.694931
-0.500000, 0.637120
-0.400000, 0.550342
-0.300000, 0.437778
-0.200000, 0.304253
-0.100000, 0.155947
-0.000000, 0.000333
0.100000, 0.155947
0.200000, 0.304253
0.300000, 0.437778
0.400000, 0.550342
0.500000, 0.637120
0.600000, 0.694931
0.700000, 0.722415
0.800000, 0.720079
0.900000, 0.690199
1.000000, 0.636619
1.100000, 0.564427
1.200000, 0.479562
1.300000, 0.388370
1.400000, 0.297148
1.500000, 0.211707
1.600000, 0.136992
1.700000, 0.076780
1.800000, 0.033481
1.900000, 0.008052
2.000000, 0.000333
2.100000, 0.007581
2.200000, 0.027929
2.300000, 0.057454
2.400000, 0.092121
2.500000, 0.127824
2.600000, 0.160734
2.700000, 0.187592
2.800000, 0.205946
2.900000, 0.214305
3.000000, 0.212205
3.100000, 0.200180
3.200000, 0.179651
3.300000, 0.152749
3.400000, 0.122075
3.500000, 0.090446
3.600000, 0.060622
3.700000, 0.035060
3.800000, 0.015708
3.900000, 0.003856
4.000000, 0.000333
4.100000, 0.003969
4.200000, 0.014773
4.300000, 0.030921
4.400000, 0.050464
4.500000, 0.071236
4.600000, 0.091056
4.700000, 0.107937
4.800000, 0.120256
4.900000, 0.126895
5.000000, 0.127322
